name_zagr;x;y
Ko-097-547;7547000;5097000
Ko-098-547;7547000;5098000
Ko-099-547;7547000;5099000
Ko-100-547;7547000;5100000
Ko-101-547;7547000;5101000
Ko-102-547;7547000;5102000
Ko-103-547;7547000;5103000
Ko-104-547;7547000;5104000
Ko-105-547;7547000;5105000
Ko-106-547;7547000;5106000
Ko-107-547;7547000;5107000
Ko-108-547;7547000;5108000
Ko-109-547;7547000;5109000
Ko-110-547;7547000;5110000
Ko-111-547;7547000;5111000
Ko-112-547;7547000;5112000
Ko-113-547;7547000;5113000
Ko-114-547;7547000;5114000
Ko-115-547;7547000;5115000
Ko-116-547;7547000;5116000
Ko-117-547;7547000;5117000
Ko-118-547;7547000;5118000
Ko-085-548;7548000;5085000
Ko-086-548;7548000;5086000
Ko-087-548;7548000;5087000
Ko-088-548;7548000;5088000
Ko-089-548;7548000;5089000
Ko-090-548;7548000;5090000
Ko-091-548;7548000;5091000
Ko-092-548;7548000;5092000
Ko-093-548;7548000;5093000
Ko-094-548;7548000;5094000
Ko-095-548;7548000;5095000
Ko-096-548;7548000;5096000
Ko-097-548;7548000;5097000
Ko-098-548;7548000;5098000
Ko-099-548;7548000;5099000
Ko-100-548;7548000;5100000
Ko-101-548;7548000;5101000
Ko-102-548;7548000;5102000
Ko-103-548;7548000;5103000
Ko-104-548;7548000;5104000
Ko-105-548;7548000;5105000
Ko-106-548;7548000;5106000
Ko-107-548;7548000;5107000
Ko-108-548;7548000;5108000
Ko-109-548;7548000;5109000
Ko-110-548;7548000;5110000
Ko-111-548;7548000;5111000
Ko-112-548;7548000;5112000
Ko-113-548;7548000;5113000
Ko-114-548;7548000;5114000
Ko-115-548;7548000;5115000
Ko-116-548;7548000;5116000
Ko-117-548;7548000;5117000
Ko-085-549;7549000;5085000
Ko-086-549;7549000;5086000
Ko-087-549;7549000;5087000
Ko-088-549;7549000;5088000
Ko-089-549;7549000;5089000
Ko-090-549;7549000;5090000
Ko-091-549;7549000;5091000
Ko-092-549;7549000;5092000
Ko-093-549;7549000;5093000
Ko-094-549;7549000;5094000
Ko-095-549;7549000;5095000
Ko-096-549;7549000;5096000
Ko-097-549;7549000;5097000
Ko-098-549;7549000;5098000
Ko-099-549;7549000;5099000
Ko-100-549;7549000;5100000
Ko-101-549;7549000;5101000
Ko-102-549;7549000;5102000
Ko-103-549;7549000;5103000
Ko-104-549;7549000;5104000
Ko-105-549;7549000;5105000
Ko-106-549;7549000;5106000
Ko-107-549;7549000;5107000
Ko-108-549;7549000;5108000
